Bathing,Tooth Brushing,Mouth Contact following Hand Submersion
0.026610252,0.007399478,0.004663779
0.083866395,0.045492663,0.013708281
0.168584856,0.138037185,0.122036871
0.210186079,0.1932522,0.183880851
0.197932371,0.163519059,0.163978412
0.194166318,0.172079803,0.173850335
0.031391778,0.014903595,0.006385924
0.179413199,0.159823647,0.128677964
0.07154097,0.033090754,0.030874603
0.20177974,0.161036281,0.1687088
0.147333795,0.118674622,0.116002034
0.12523202,0.065759401,0.071614539
0.119609324,0.067781548,0.015179856
0.163489522,0.121320336,0.092467691
0.164242613,0.134159678,0.109918713
0.157370449,0.129432401,0.116312891
0.107196689,0.072336649,0.056633327
0.181415719,0.135310694,0.13698749
0.118049071,0.06200811,0.065080041
0.133627866,0.099922291,0.09788053
0.201482543,0.181953816,0.178947621
0.125058234,0.07579678,0.041412736
0.155026916,0.121472448,0.107781002
0.116048067,0.077432753,0.016672343
0.099386014,0.057236155,0.060217949
0.185516581,0.139223336,0.154726878
0.106766401,0.076666361,0.044014371
0.175941217,0.154067894,0.124096063
0.091826204,0.055844159,0.047738378
0.207968236,0.192588073,0.163500915
0.136689242,0.104877432,0.087750711
0.185629733,0.164455746,0.148603799
0.060535287,0.016895621,0.004564628
0.145749037,0.107102837,0.079434159
0.154580615,0.125496952,0.110919757
0.170525389,0.121627166,0.133170789
0.139589048,0.08634161,0.072283605
0.065572602,0.025326529,0.020047797
0.172901636,0.120223306,0.122478619
0.200669776,0.178092776,0.159642634
0.147318725,0.11641339,0.086882474
0.132005762,0.091082131,0.0874218
0.136519803,0.092339701,0.084896998
0.135920241,0.104752224,0.084573424
0.137786318,0.098989243,0.058729596
0.137700386,0.101403711,0.091500601
0.046986876,0.014094806,0.004576212
0.074462193,0.041450718,0.019034544
0.165517451,0.110948545,0.109693929
0.150135912,0.099917221,0.113908789
0.177009843,0.1417626,0.138199688
0.126834502,0.097353242,0.080714919
0.099888377,0.072768734,0.056280947
0.136534925,0.088905862,0.062375012
0.095982505,0.065008623,0.040924966
0.126698872,0.090961827,0.079199792
0.186576899,0.139411307,0.121774213
0.079002534,0.018887928,0.01860651
0.154146421,0.101070037,0.114413294
0.125799014,0.084665943,0.061734254
0.175524979,0.149969614,0.125072558
0.106854811,0.071856031,0.05926723
0.143259354,0.105324948,0.07640895
0.180477712,0.142140614,0.147037295
0.049670303,0.025876236,0.01541333
0.161894158,0.131592048,0.110619033
0.178075189,0.15544548,0.136353282
0.142192754,0.083080612,0.091416065
0.093017696,0.049673061,0.035503712
0.145787819,0.089929697,0.0780934
0.176600803,0.120930125,0.133275397
0.102531007,0.048961493,0.05362836
0.158595082,0.133233845,0.086264979
0.049312099,0.0101907,0.003663777
0.163998946,0.120482752,0.123999876
0.195862512,0.153194149,0.170049508
